time,fC2LE2,fC2LE4,fC2LE7,fC2LE9,fPGWh,fPGWm
2050-03-08,0.77220726,0.44113526,0.83192486,0.56382173,0.57676595,0.67788583
2050-03-09,0.7711581,0.4408131,0.8309507,0.5631147,0.5761655,0.67736036
2050-03-10,0.77011156,0.44049135,0.8299824,0.56245947,0.5756157,0.6768372
2050-03-11,0.7691376,0.44017044,0.82901424,0.5618729,0.5750677,0.6763175
2050-03-12,0.7682508,0.43984625,0.8280463,0.5613469,0.57451195,0.67580146
2050-03-13,0.76741785,0.4395001,0.8270819,0.5608626,0.57397187,0.6752884
2050-03-14,0.76658845,0.43910012,0.8261257,0.56040233,0.5734662,0.6747777
2050-03-15,0.7657239,0.4386269,0.8251816,0.55995405,0.5729825,0.67426944
2050-03-16,0.76480937,0.43809807,0.8242509,0.55951154,0.5724811,0.67376363
2050-03-17,0.7638492,0.43756178,0.82333183,0.55907184,0.57192266,0.6732592
2050-03-18,0.76285285,0.43706498,0.822421,0.55863374,0.5712955,0.6727537
2050-03-19,0.7618222,0.4366276,0.8215152,0.55819666,0.5706201,0.6722432
2050-03-20,0.7607495,0.43624195,0.82061297,0.5577603,0.56992847,0.67172325
2050-03-21,0.7596266,0.43588865,0.81971556,0.5573244,0.5692414,0.6711903
2050-03-22,0.758461,0.43555123,0.81882447,0.55688864,0.56856364,0.6706426
2050-03-23,0.75728685,0.4352204,0.8179402,0.556449,0.5678937,0.67007935
2050-03-24,0.75615805,0.4348923,0.81706077,0.55599415,0.5672355,0.6695
2050-03-25,0.75512534,0.43456498,0.81618315,0.5555051,0.5665999,0.6689054
2050-03-26,0.7542125,0.43423545,0.81530565,0.55496293,0.5659979,0.66830087
2050-03-27,0.7534058,0.4338994,0.81442976,0.5543599,0.56543416,0.6676973
2050-03-28,0.75265634,0.43355465,0.81355846,0.55370635,0.56490463,0.6671053
2050-03-29,0.75189805,0.4332043,0.81269276,0.55302465,0.56439936,0.6665282
2050-03-30,0.75108236,0.43285397,0.8118304,0.5523389,0.56390494,0.6659595
2050-03-31,0.75020903,0.43249983,0.8109676,0.55166817,0.5634062,0.6653877
2050-04-01,0.74932295,0.43211532,0.8100996,0.55102175,0.56288844,0.6648045
2050-04-02,0.74847835,0.43166012,0.809219,0.55039406,0.5623389,0.66420925
2050-04-03,0.7477052,0.43111664,0.8083146,0.5497695,0.5617445,0.6636088
2050-04-04,0.74699473,0.43051654,0.8073738,0.54914033,0.56108505,0.66301376
2050-04-05,0.74630153,0.429924,0.80638874,0.5485158,0.5603447,0.66243404
2050-04-06,0.7455735,0.42939317,0.8053606,0.54791003,0.55954194,0.6618752
2050-04-07,0.7447939,0.42894197,0.8042998,0.54732597,0.5587366,0.6613379
2050-04-08,0.7439842,0.4285572,0.8032199,0.54675525,0.55799735,0.6608191
2050-04-09,0.7431828,0.42821681,0.8021313,0.54619104,0.5573616,0.66031456
2050-04-10,3.1470094,0.42790458,0.8010351,0.5456294,0.5568252,0.6598197
2050-04-11,12.522908,0.42760584,0.8001728,0.54505765,0.5563595,0.6593309
2050-04-12,23.18205,0.4273007,0.79996514,0.54445904,0.5559337,0.6588447
2050-04-13,26.936193,0.42697176,0.8002098,0.5438368,0.55552655,0.658358
2050-04-14,22.954304,0.42661738,0.79993653,0.54322284,0.55512697,0.65786767
2050-04-15,15.948913,0.42625132,0.7984753,0.54265463,0.55473024,0.6573721
2050-04-16,9.920079,0.42588788,0.79613656,0.54214877,0.554335,0.6568717
2050-04-17,5.997363,0.42552868,0.7936987,0.5416972,0.55394095,0.6563685
2050-04-18,3.7326555,0.42516676,0.7916677,0.5412798,0.55354744,0.6558652
2050-04-19,2.447759,0.42480138,0.79010975,0.54087186,0.5531532,0.65536374
2050-04-20,1.6971853,0.42444137,0.7888766,0.54044336,0.5527571,0.6548651
